Using Theano backend.
Setting up preprocessing ...
 Adding FloatCastTransformation
 Adding SubtractionTransformation [train] (value: 120.38)
 Adding DivisionTransformation [train] (value: 64.40)
Initializing minibatch generators ...
 [train] 4000 samples, 63 minibatches of size 64
 [val]   1000 samples, 10 minibatches of size 100
Initializing softmax classifier and optimizer ...
Training for 200 epochs ...
[Epoch 001] loss: 3.178, training accuracy: 0.259, validation accuracy: 0.297
[Epoch 055] loss: 0.920, training accuracy: 0.713, validation accuracy: 0.257
[Epoch 056] loss: 0.858, training accuracy: 0.730, validation accuracy: 0.284
[Epoch 057] loss: 0.972, training accuracy: 0.707, validation accuracy: 0.297
[Epoch 058] loss: 0.946, training accuracy: 0.712, validation accuracy: 0.285
[Epoch 059] loss: 0.989, training accuracy: 0.698, validation accuracy: 0.279
[Epoch 060] loss: 0.838, training accuracy: 0.735, validation accuracy: 0.280
[Epoch 061] loss: 0.783, training accuracy: 0.753, validation accuracy: 0.282
[Epoch 062] loss: 0.891, training accuracy: 0.724, validation accuracy: 0.259
[Epoch 063] loss: 0.899, training accuracy: 0.719, validation accuracy: 0.269
[Epoch 064] loss: 0.815, training accuracy: 0.743, validation accuracy: 0.257
[Epoch 065] loss: 0.854, training accuracy: 0.722, validation accuracy: 0.270
[Epoch 066] loss: 0.885, training accuracy: 0.723, validation accuracy: 0.254
[Epoch 067] loss: 0.901, training accuracy: 0.721, validation accuracy: 0.270
[Epoch 068] loss: 0.890, training accuracy: 0.727, validation accuracy: 0.264
[Epoch 069] loss: 0.880, training accuracy: 0.731, validation accuracy: 0.299
[Epoch 070] loss: 0.778, training accuracy: 0.756, validation accuracy: 0.257
[Epoch 071] loss: 0.796, training accuracy: 0.750, validation accuracy: 0.283
[Epoch 072] loss: 0.734, training accuracy: 0.777, validation accuracy: 0.253
[Epoch 073] loss: 0.789, training accuracy: 0.755, validation accuracy: 0.259
[Epoch 074] loss: 0.629, training accuracy: 0.792, validation accuracy: 0.268
[Epoch 075] loss: 0.691, training accuracy: 0.781, validation accuracy: 0.256
[Epoch 076] loss: 0.704, training accuracy: 0.787, validation accuracy: 0.261
[Epoch 077] loss: 0.644, training accuracy: 0.788, validation accuracy: 0.263
[Epoch 078] loss: 0.688, training accuracy: 0.779, validation accuracy: 0.264
[Epoch 079] loss: 0.752, training accuracy: 0.763, validation accuracy: 0.279
[Epoch 080] loss: 0.723, training accuracy: 0.769, validation accuracy: 0.254
[Epoch 081] loss: 0.721, training accuracy: 0.770, validation accuracy: 0.274
[Epoch 082] loss: 0.725, training accuracy: 0.771, validation accuracy: 0.266
[Epoch 083] loss: 0.673, training accuracy: 0.785, validation accuracy: 0.265
[Epoch 084] loss: 0.690, training accuracy: 0.784, validation accuracy: 0.268
[Epoch 085] loss: 0.649, training accuracy: 0.789, validation accuracy: 0.264
[Epoch 086] loss: 0.627, training accuracy: 0.793, validation accuracy: 0.249
[Epoch 087] loss: 0.715, training accuracy: 0.775, validation accuracy: 0.254
[Epoch 088] loss: 0.676, training accuracy: 0.787, validation accuracy: 0.285
[Epoch 089] loss: 0.616, training accuracy: 0.809, validation accuracy: 0.274
[Epoch 090] loss: 0.722, training accuracy: 0.777, validation accuracy: 0.265
[Epoch 091] loss: 0.635, training accuracy: 0.798, validation accuracy: 0.283
[Epoch 092] loss: 0.620, training accuracy: 0.803, validation accuracy: 0.277
[Epoch 093] loss: 0.632, training accuracy: 0.796, validation accuracy: 0.269
[Epoch 094] loss: 0.670, training accuracy: 0.787, validation accuracy: 0.249
[Epoch 095] loss: 0.598, training accuracy: 0.803, validation accuracy: 0.257
[Epoch 096] loss: 0.690, training accuracy: 0.780, validation accuracy: 0.262
[Epoch 097] loss: 0.536, training accuracy: 0.830, validation accuracy: 0.262
[Epoch 098] loss: 0.548, training accuracy: 0.826, validation accuracy: 0.262
[Epoch 099] loss: 0.541, training accuracy: 0.826, validation accuracy: 0.264
[Epoch 100] loss: 0.567, training accuracy: 0.817, validation accuracy: 0.254
[Epoch 101] loss: 0.518, training accuracy: 0.831, validation accuracy: 0.256
[Epoch 102] loss: 0.566, training accuracy: 0.821, validation accuracy: 0.244
[Epoch 103] loss: 0.493, training accuracy: 0.847, validation accuracy: 0.272
[Epoch 104] loss: 0.522, training accuracy: 0.831, validation accuracy: 0.257
[Epoch 105] loss: 0.512, training accuracy: 0.840, validation accuracy: 0.265
[Epoch 106] loss: 0.514, training accuracy: 0.833, validation accuracy: 0.272
[Epoch 107] loss: 0.556, training accuracy: 0.814, validation accuracy: 0.282
[Epoch 108] loss: 0.505, training accuracy: 0.837, validation accuracy: 0.265
[Epoch 109] loss: 0.498, training accuracy: 0.834, validation accuracy: 0.253
[Epoch 110] loss: 0.453, training accuracy: 0.862, validation accuracy: 0.276
[Epoch 111] loss: 0.441, training accuracy: 0.863, validation accuracy: 0.268
[Epoch 112] loss: 0.512, training accuracy: 0.840, validation accuracy: 0.249
[Epoch 113] loss: 0.481, training accuracy: 0.853, validation accuracy: 0.251
[Epoch 114] loss: 0.431, training accuracy: 0.866, validation accuracy: 0.275
[Epoch 115] loss: 0.414, training accuracy: 0.873, validation accuracy: 0.257
[Epoch 116] loss: 0.464, training accuracy: 0.855, validation accuracy: 0.276
[Epoch 117] loss: 0.474, training accuracy: 0.842, validation accuracy: 0.262
[Epoch 118] loss: 0.404, training accuracy: 0.876, validation accuracy: 0.273
[Epoch 119] loss: 0.414, training accuracy: 0.878, validation accuracy: 0.247
[Epoch 120] loss: 0.462, training accuracy: 0.855, validation accuracy: 0.267
[Epoch 121] loss: 0.405, training accuracy: 0.876, validation accuracy: 0.261
[Epoch 122] loss: 0.369, training accuracy: 0.888, validation accuracy: 0.258
[Epoch 123] loss: 0.390, training accuracy: 0.882, validation accuracy: 0.280
[Epoch 124] loss: 0.350, training accuracy: 0.896, validation accuracy: 0.278
[Epoch 125] loss: 0.366, training accuracy: 0.889, validation accuracy: 0.261
[Epoch 126] loss: 0.397, training accuracy: 0.878, validation accuracy: 0.253
[Epoch 127] loss: 0.389, training accuracy: 0.885, validation accuracy: 0.247
[Epoch 128] loss: 0.386, training accuracy: 0.886, validation accuracy: 0.260
[Epoch 129] loss: 0.458, training accuracy: 0.858, validation accuracy: 0.281
[Epoch 130] loss: 0.402, training accuracy: 0.873, validation accuracy: 0.255
[Epoch 131] loss: 0.371, training accuracy: 0.887, validation accuracy: 0.264
[Epoch 132] loss: 0.381, training accuracy: 0.888, validation accuracy: 0.256
[Epoch 133] loss: 0.351, training accuracy: 0.896, validation accuracy: 0.260
[Epoch 134] loss: 0.348, training accuracy: 0.891, validation accuracy: 0.253
[Epoch 135] loss: 0.303, training accuracy: 0.922, validation accuracy: 0.255
[Epoch 136] loss: 0.423, training accuracy: 0.867, validation accuracy: 0.266
[Epoch 137] loss: 0.369, training accuracy: 0.892, validation accuracy: 0.270
[Epoch 138] loss: 0.366, training accuracy: 0.885, validation accuracy: 0.260
[Epoch 139] loss: 0.344, training accuracy: 0.895, validation accuracy: 0.274
[Epoch 140] loss: 0.356, training accuracy: 0.893, validation accuracy: 0.265
[Epoch 141] loss: 0.363, training accuracy: 0.889, validation accuracy: 0.239
[Epoch 142] loss: 0.333, training accuracy: 0.903, validation accuracy: 0.277
[Epoch 143] loss: 0.299, training accuracy: 0.920, validation accuracy: 0.250
[Epoch 144] loss: 0.391, training accuracy: 0.880, validation accuracy: 0.251
[Epoch 145] loss: 0.337, training accuracy: 0.895, validation accuracy: 0.258
[Epoch 146] loss: 0.352, training accuracy: 0.895, validation accuracy: 0.247
[Epoch 147] loss: 0.316, training accuracy: 0.909, validation accuracy: 0.250
[Epoch 148] loss: 0.300, training accuracy: 0.917, validation accuracy: 0.264
[Epoch 149] loss: 0.298, training accuracy: 0.920, validation accuracy: 0.263
[Epoch 150] loss: 0.263, training accuracy: 0.930, validation accuracy: 0.242
[Epoch 151] loss: 0.304, training accuracy: 0.916, validation accuracy: 0.268
[Epoch 152] loss: 0.276, training accuracy: 0.933, validation accuracy: 0.262
[Epoch 153] loss: 0.335, training accuracy: 0.902, validation accuracy: 0.254
[Epoch 154] loss: 0.358, training accuracy: 0.894, validation accuracy: 0.255
[Epoch 155] loss: 0.336, training accuracy: 0.903, validation accuracy: 0.260
[Epoch 156] loss: 0.335, training accuracy: 0.897, validation accuracy: 0.257
[Epoch 157] loss: 0.319, training accuracy: 0.905, validation accuracy: 0.257
[Epoch 158] loss: 0.366, training accuracy: 0.898, validation accuracy: 0.265
[Epoch 159] loss: 0.339, training accuracy: 0.904, validation accuracy: 0.254
[Epoch 160] loss: 0.270, training accuracy: 0.924, validation accuracy: 0.262
[Epoch 161] loss: 0.265, training accuracy: 0.930, validation accuracy: 0.253
[Epoch 162] loss: 0.316, training accuracy: 0.924, validation accuracy: 0.271
[Epoch 163] loss: 0.336, training accuracy: 0.900, validation accuracy: 0.264
[Epoch 164] loss: 0.305, training accuracy: 0.913, validation accuracy: 0.257
[Epoch 165] loss: 0.244, training accuracy: 0.942, validation accuracy: 0.272
[Epoch 166] loss: 0.210, training accuracy: 0.958, validation accuracy: 0.261
[Epoch 167] loss: 0.243, training accuracy: 0.945, validation accuracy: 0.244
[Epoch 168] loss: 0.287, training accuracy: 0.919, validation accuracy: 0.269
[Epoch 169] loss: 0.259, training accuracy: 0.938, validation accuracy: 0.256
[Epoch 170] loss: 0.295, training accuracy: 0.915, validation accuracy: 0.259
[Epoch 171] loss: 0.251, training accuracy: 0.938, validation accuracy: 0.263
[Epoch 172] loss: 0.258, training accuracy: 0.932, validation accuracy: 0.247
[Epoch 173] loss: 0.295, training accuracy: 0.914, validation accuracy: 0.273
[Epoch 174] loss: 0.252, training accuracy: 0.937, validation accuracy: 0.253
[Epoch 175] loss: 0.228, training accuracy: 0.945, validation accuracy: 0.261
[Epoch 176] loss: 0.231, training accuracy: 0.948, validation accuracy: 0.258
[Epoch 177] loss: 0.209, training accuracy: 0.957, validation accuracy: 0.262
[Epoch 178] loss: 0.206, training accuracy: 0.961, validation accuracy: 0.262
[Epoch 179] loss: 0.210, training accuracy: 0.953, validation accuracy: 0.269
[Epoch 180] loss: 0.220, training accuracy: 0.946, validation accuracy: 0.248
[Epoch 181] loss: 0.263, training accuracy: 0.935, validation accuracy: 0.255
[Epoch 182] loss: 0.257, training accuracy: 0.933, validation accuracy: 0.231
[Epoch 183] loss: 0.267, training accuracy: 0.929, validation accuracy: 0.245
[Epoch 184] loss: 0.251, training accuracy: 0.940, validation accuracy: 0.250
[Epoch 185] loss: 0.241, training accuracy: 0.939, validation accuracy: 0.261
[Epoch 186] loss: 0.202, training accuracy: 0.957, validation accuracy: 0.247
[Epoch 187] loss: 0.213, training accuracy: 0.955, validation accuracy: 0.250
[Epoch 188] loss: 0.205, training accuracy: 0.955, validation accuracy: 0.253
[Epoch 189] loss: 0.194, training accuracy: 0.962, validation accuracy: 0.254
[Epoch 190] loss: 0.205, training accuracy: 0.956, validation accuracy: 0.239
[Epoch 191] loss: 0.237, training accuracy: 0.949, validation accuracy: 0.262
[Epoch 192] loss: 0.275, training accuracy: 0.920, validation accuracy: 0.260
[Epoch 193] loss: 0.212, training accuracy: 0.955, validation accuracy: 0.247
[Epoch 194] loss: 0.209, training accuracy: 0.955, validation accuracy: 0.262
[Epoch 195] loss: 0.223, training accuracy: 0.948, validation accuracy: 0.254
[Epoch 196] loss: 0.217, training accuracy: 0.950, validation accuracy: 0.268
[Epoch 197] loss: 0.222, training accuracy: 0.950, validation accuracy: 0.261
[Epoch 198] loss: 0.192, training accuracy: 0.964, validation accuracy: 0.269
[Epoch 199] loss: 0.252, training accuracy: 0.932, validation accuracy: 0.253
[Epoch 200] loss: 0.201, training accuracy: 0.957, validation accuracy: 0.252
Done
Press any key to conti
